Date,Open,High,Low,Close,Adj Close,Volume
2013-11-28,13240.000000,13380.000000,12830.000000,12960.000000,12190.917969,924700
2013-11-29,12970.000000,13190.000000,12970.000000,13130.000000,12350.829102,683200
2013-12-02,13150.000000,13270.000000,13080.000000,13140.000000,12360.236328,401900
2013-12-03,13230.000000,13270.000000,12790.000000,12820.000000,12059.225586,767000
2013-12-04,12670.000000,12700.000000,12520.000000,12550.000000,11805.247070,858400
2013-12-05,12570.000000,12760.000000,12530.000000,12560.000000,11814.654297,490200
2013-12-06,12510.000000,12660.000000,12470.000000,12630.000000,11880.500000,476800
2013-12-09,12770.000000,12790.000000,12640.000000,12770.000000,12012.192383,349400
2013-12-10,12740.000000,12930.000000,12680.000000,12890.000000,12125.071289,405000
2013-12-11,12900.000000,12920.000000,12650.000000,12720.000000,11965.159180,490600
2013-12-12,12500.000000,12760.000000,12470.000000,12700.000000,11946.346680,786300
2013-12-13,12640.000000,12690.000000,12500.000000,12580.000000,11833.466797,766900
2013-12-16,12590.000000,12720.000000,12520.000000,12530.000000,11786.434570,415500
2013-12-17,12600.000000,12710.000000,12590.000000,12640.000000,11889.908203,415400
2013-12-18,12660.000000,13040.000000,12660.000000,13030.000000,12256.763672,764400
2013-12-19,13310.000000,13900.000000,13280.000000,13680.000000,12868.191406,1790800
2013-12-20,13600.000000,13830.000000,13560.000000,13780.000000,12962.256836,1141800
2013-12-24,13850.000000,13950.000000,13820.000000,13900.000000,13075.134766,818900
2013-12-25,13660.000000,13880.000000,13660.000000,13810.000000,12990.476563,785000
2013-12-26,13850.000000,13980.000000,13820.000000,13930.000000,13103.355469,493800
2013-12-27,13950.000000,14120.000000,13930.000000,14020.000000,13188.013672,591000
2013-12-30,14000.000000,14220.000000,13980.000000,14010.000000,13178.607422,710700
2014-01-06,14000.000000,14330.000000,13920.000000,14320.000000,13470.210938,1013000
2014-01-07,14200.000000,14380.000000,14060.000000,14310.000000,13460.805664,887900
2014-01-08,14380.000000,16050.000000,14380.000000,15850.000000,14909.416992,3030500
2014-01-09,15520.000000,15530.000000,15140.000000,15420.000000,14504.932617,1817400
2014-01-10,15310.000000,16150.000000,15230.000000,16080.000000,15125.768555,2124100
2014-01-14,15410.000000,15755.000000,15370.000000,15500.000000,14580.186523,1462200
2014-01-15,15750.000000,15880.000000,15265.000000,15360.000000,14448.495117,1186800
2014-01-16,15165.000000,15410.000000,14940.000000,15060.000000,14166.298828,1606600
2014-01-17,15100.000000,15270.000000,14575.000000,14645.000000,13775.925781,1612600
2014-01-20,11945.000000,13800.000000,11935.000000,13745.000000,12929.333008,10731500
2014-01-21,13500.000000,13695.000000,13265.000000,13415.000000,12618.916992,3231000
2014-01-22,13500.000000,14080.000000,13425.000000,14025.000000,13192.717773,3710800
2014-01-23,14200.000000,14440.000000,13770.000000,13850.000000,13028.103516,2997100
2014-01-24,14060.000000,14090.000000,13480.000000,13560.000000,12755.313477,2189500
2014-01-27,13350.000000,13535.000000,13260.000000,13260.000000,12473.115234,1458400
2014-01-28,13000.000000,13105.000000,12650.000000,12720.000000,11965.159180,2601700
2014-01-29,12585.000000,12885.000000,12235.000000,12880.000000,12115.666016,2406000
2014-01-30,13500.000000,13850.000000,12180.000000,12325.000000,11593.600586,5915200
2014-01-31,12205.000000,12560.000000,11950.000000,12150.000000,11428.985352,2004000
2014-02-03,11985.000000,12395.000000,11965.000000,12025.000000,11311.405273,1839200
2014-02-04,11955.000000,12165.000000,11885.000000,11900.000000,11193.820313,3179700
2014-02-05,12000.000000,12135.000000,11325.000000,11435.000000,10756.415039,3268300
2014-02-06,11435.000000,11775.000000,11215.000000,11285.000000,10615.316406,2101600
2014-02-07,11495.000000,11500.000000,11285.000000,11490.000000,10808.151367,1576200
2014-02-10,11565.000000,12130.000000,11445.000000,12105.000000,11386.656250,1671200
2014-02-12,12270.000000,12385.000000,11980.000000,12165.000000,11443.094727,1563900
2014-02-13,12150.000000,12205.000000,11580.000000,11715.000000,11019.800781,1711300
2014-02-14,11720.000000,11925.000000,11570.000000,11770.000000,11071.536133,1215000
2014-02-17,11675.000000,11965.000000,11625.000000,11855.000000,11151.491211,748700
2014-02-18,11915.000000,12505.000000,11875.000000,12465.000000,11725.291992,1106600
2014-02-19,12335.000000,12665.000000,12330.000000,12610.000000,11861.687500,953700
2014-02-20,12465.000000,12630.000000,12215.000000,12245.000000,11518.347656,944500
2014-02-21,12405.000000,12680.000000,12400.000000,12580.000000,11833.466797,704500
2014-02-24,12450.000000,12790.000000,12405.000000,12550.000000,11805.247070,832000
2014-02-25,12630.000000,12750.000000,12570.000000,12725.000000,11969.863281,502900
2014-02-26,12670.000000,13185.000000,12665.000000,13000.000000,12228.542969,1155700
2014-02-27,12875.000000,12995.000000,12415.000000,12490.000000,11748.807617,1327800
2014-02-28,12490.000000,12700.000000,12365.000000,12555.000000,11809.951172,938100
2014-03-03,12355.000000,12500.000000,12160.000000,12335.000000,11603.007813,884900
2014-03-04,12345.000000,12655.000000,12225.000000,12565.000000,11819.357422,812100
2014-03-05,12765.000000,12875.000000,12550.000000,12570.000000,11824.060547,546000
2014-03-06,12490.000000,12645.000000,12355.000000,12600.000000,11852.279297,785300
2014-03-07,12700.000000,12725.000000,12525.000000,12625.000000,11875.796875,696800
2014-03-10,12535.000000,12565.000000,12365.000000,12400.000000,11664.149414,615000
2014-03-11,12330.000000,12395.000000,12250.000000,12395.000000,11659.446289,790800
2014-03-12,12285.000000,12355.000000,12170.000000,12250.000000,11523.051758,524000
2014-03-13,12285.000000,12360.000000,12215.000000,12290.000000,11560.676758,402500
2014-03-14,12130.000000,12280.000000,11875.000000,11910.000000,11203.229492,1006500
2014-03-17,11820.000000,11985.000000,11805.000000,11885.000000,11179.711914,383300
2014-03-18,11960.000000,11980.000000,11670.000000,11740.000000,11043.316406,737900
2014-03-19,11830.000000,11915.000000,11690.000000,11690.000000,10996.283203,630100
